Банк;Номер лицензии банка;Место в рейтинге;Дата отчёта;Наименование статей;Символы;Суммы в рублях от операций в рублях;Суммы в рублях от операций в ин. валюте и драг. металлах;Всего
ВТБ;1000;2;2019-01-01;органов власти субъектов Российской Федерации и органов местного самоуправления;11802;0;0;0
ВТБ;1000;2;2019-01-01;кредитных организаций;11803;0;0;0
ВТБ;1000;2;2019-01-01;прочих резидентов;11804;0;0;0
ВТБ;1000;2;2019-01-01;органов государственной власти иностранных государств;11805;0;0;0
ВТБ;1000;2;2019-01-01;органов местной власти иностранных государств;11806;0;0;0
ВТБ;1000;2;2019-01-01;банков-нерезидентов;11807;0;0;0
ВТБ;1000;2;2019-01-01;прочих нерезидентов;11808;0;0;0
ВТБ;1000;2;2019-01-01;Минфину России;12101;0;0;0
ВТБ;1000;2;2019-01-01;финансовым органам субъектов Российской Федерации и органов местного самоуправления;12102;0;0;0
ВТБ;1000;2;2019-01-01;государственным внебюджетным фондам Российской Федерации;12103;0;0;0
ВТБ;1000;2;2019-01-01;внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления;12104;0;0;0
ВТБ;1000;2;2019-01-01;финансовым организациям, находящимся в федеральной собственности;12105;0;0;0
ВТБ;1000;2;2019-01-01;коммерческим организациям, находящимся в федеральной собственности;12106;15541;400;15941
ВТБ;1000;2;2019-01-01;некоммерческим организациям, находящимся в федеральной собственности;12107;101;0;101
ВТБ;1000;2;2019-01-01;финансовым организациям, находящимся в государственной (кроме федеральной) собственности;12108;0;0;0
ВТБ;1000;2;2019-01-01;коммерческим организациям, находящимся в государственной (кроме федеральной) собственности;12109;4306;0;4306
ВТБ;1000;2;2019-01-01;некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности;12110;0;0;0
ВТБ;1000;2;2019-01-01;негосударственным финансовым организациям;12111;36585;0;36585
ВТБ;1000;2;2019-01-01;негосударственным коммерческим организациям;12112;6465922;1533924;7999846
ВТБ;1000;2;2019-01-01;негосударственным некоммерческим организациям;12113;290;0;290
ВТБ;1000;2;2019-01-01;индивидуальным предпринимателям;12114;70900;0;70900
ВТБ;1000;2;2019-01-01;гражданам (физическим лицам);12115;2103;311;2414
ВТБ;1000;2;2019-01-01;юридическим лицам - нерезидентам;12116;117734;2125003;2242737
ВТБ;1000;2;2019-01-01;физическим лицам - нерезидентам;12117;0;0;0
ВТБ;1000;2;2019-01-01;кредитным организациям;12118;0;0;0
ВТБ;1000;2;2019-01-01;банкам-нерезидентам;12119;2893;2835;5728
ВТБ;1000;2;2019-01-01;иностранным государствам;12120;0;0;0
ВТБ;1000;2;2019-01-01;в Минфине России;12201;0;0;0
ВТБ;1000;2;2019-01-01;в финансовых органах субъектов Российской Федерации и органов местного самоуправления;12202;0;0;0
ВТБ;1000;2;2019-01-01;в государственных внебюджетных фондах Российской Федерации;12203;0;0;0
ВТБ;1000;2;2019-01-01;во внебюджетных фондах субъектов Российской Федерации и органов местного самоуправления;12204;0;0;0
ВТБ;1000;2;2019-01-01;в финансовых организациях, находящихся в федеральной собственности;12205;0;0;0
ВТБ;1000;2;2019-01-01;в коммерческих организациях, находящихся в федеральной собственности;12206;0;0;0
ВТБ;1000;2;2019-01-01;в некоммерческих организациях, находящихся в федеральной собственности;12207;0;0;0
ВТБ;1000;2;2019-01-01;в финансовых организациях, находящихся в государственной (кроме федеральной) собственности;12208;0;0;0
ВТБ;1000;2;2019-01-01;в коммерческих организациях, находящихся в государственной (кроме федеральной) собственности;12209;0;0;0
ВТБ;1000;2;2019-01-01;в некоммерческих организациях, находящихся в государственной (кроме федеральной) собственности;12210;0;0;0
ВТБ;1000;2;2019-01-01;в негосударственных финансовых организациях;12211;0;0;0
ВТБ;1000;2;2019-01-01;в негосударственных коммерческих организациях;12212;0;0;0
ВТБ;1000;2;2019-01-01;в негосударственных некоммерческих организациях;12213;0;0;0
ВТБ;1000;2;2019-01-01;в юридических лицах - нерезидентах;12214;1500;0;1500
ВТБ;1000;2;2019-01-01;в кредитных организациях;12215;0;0;0
ВТБ;1000;2;2019-01-01;в банках-нерезидентах;12216;0;0;0
ВТБ;1000;2;2019-01-01;в Банке России;12217;0;0;0
ВТБ;1000;2;2019-01-01;индивидуальным предпринимателям;12218;0;0;0
ВТБ;1000;2;2019-01-01;гражданам (физическим лицам);12219;0;0;0
ВТБ;1000;2;2019-01-01;физическим лицам - нерезидентам;12220;0;0;0
ВТБ;1000;2;2019-01-01;в Банке России;12301;0;0;0
ВТБ;1000;2;2019-01-01;в кредитных организациях;12302;0;0;0
ВТБ;1000;2;2019-01-01;в банках-нерезидентах;12303;0;0;0
ВТБ;1000;2;2019-01-01;Минфину России;13101;0;0;0
ВТБ;1000;2;2019-01-01;финансовым органам субъектов Российской Федерации и органов местного самоуправления;13102;0;0;0
ВТБ;1000;2;2019-01-01;государственным внебюджетным фондам Российской Федерации;13103;0;0;0
ВТБ;1000;2;2019-01-01;внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления;13104;0;0;0
ВТБ;1000;2;2019-01-01;финансовым организациям, находящимся в федеральной собственности;13105;0;0;0
ВТБ;1000;2;2019-01-01;коммерческим организациям, находящимся в федеральной собственности;13106;0;0;0
ВТБ;1000;2;2019-01-01;некоммерческим организациям, находящимся в федеральной собственности;13107;0;0;0
ВТБ;1000;2;2019-01-01;финансовым организациям, находящимся в государственной (кроме федеральной) собственности;13108;0;0;0
ВТБ;1000;2;2019-01-01;коммерческим организациям, находящимся в государственной (кроме федеральной) собственности;13109;0;0;0
ВТБ;1000;2;2019-01-01;некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности;13110;0;0;0
ВТБ;1000;2;2019-01-01;негосударственным финансовым организациям;13111;0;0;0
ВТБ;1000;2;2019-01-01;негосударственным коммерческим организациям;13112;0;0;0
ВТБ;1000;2;2019-01-01;негосударственным некоммерческим организациям;13113;0;0;0
ВТБ;1000;2;2019-01-01;индивидуальным предпринимателям;13114;0;0;0
ВТБ;1000;2;2019-01-01;гражданам (физическим лицам);13115;0;0;0
ВТБ;1000;2;2019-01-01;юридическим лицам - нерезидентам;13116;0;0;0
ВТБ;1000;2;2019-01-01;физическим лицам - нерезидентам;13117;0;0;0
ВТБ;1000;2;2019-01-01;кредитным организациям;13118;0;0;0
ВТБ;1000;2;2019-01-01;банкам-нерезидентам;13119;0;0;0
ВТБ;1000;2;2019-01-01;иностранным государствам;13120;0;0;0
ВТБ;1000;2;2019-01-01;в Минфине России;13201;0;0;0
ВТБ;1000;2;2019-01-01;в финансовых органах субъектов Российской Федерации и органов местного самоуправления;13202;0;0;0
ВТБ;1000;2;2019-01-01;в государственных внебюджетных фондах Российской Федерации;13203;0;0;0
ВТБ;1000;2;2019-01-01;во внебюджетных фондах субъектов Российской Федерации и органов местного самоуправления;13204;0;0;0
ВТБ;1000;2;2019-01-01;в финансовых организациях, находящихся в федеральной собственности;13205;0;0;0
ВТБ;1000;2;2019-01-01;в коммерческих организациях, находящихся в федеральной собственности;13206;0;0;0
ВТБ;1000;2;2019-01-01;в некоммерческих организациях, находящихся в федеральной собственности;13207;0;0;0
ВТБ;1000;2;2019-01-01;в финансовых организациях, находящихся в государственной (кроме федеральной) собственности;13208;0;0;0
ВТБ;1000;2;2019-01-01;в коммерческих организациях, находящихся в государственной (кроме федеральной) собственности;13209;0;0;0
ВТБ;1000;2;2019-01-01;в некоммерческих организациях, находящихся в государственной (кроме федеральной) собственности;13210;0;0;0
ВТБ;1000;2;2019-01-01;в негосударственных финансовых организациях;13211;0;0;0
ВТБ;1000;2;2019-01-01;в негосударственных коммерческих организациях;13212;0;0;0
