Банк;Номер лицензии банка;Место в рейтинге;Дата отчёта;Наименование статей;Символы;Суммы в рублях от операций в рублях;Суммы в рублях от операций в ин. валюте и драг. металлах;Всего
Альфа-Банк;1326;5;2019-01-01;прочих резидентов;11705;6459611;0;6459611
Альфа-Банк;1326;5;2019-01-01;иностранных государств;11706;0;0;0
Альфа-Банк;1326;5;2019-01-01;банков-нерезидентов;11707;0;0;0
Альфа-Банк;1326;5;2019-01-01;прочих нерезидентов;11708;371458;4450230;4821688
Альфа-Банк;1326;5;2019-01-01;органов федеральной власти;11801;0;0;0
Альфа-Банк;1326;5;2019-01-01;органов власти субъектов Российской Федерации и органов местного самоуправления;11802;0;0;0
Альфа-Банк;1326;5;2019-01-01;кредитных организаций;11803;0;0;0
Альфа-Банк;1326;5;2019-01-01;прочих резидентов;11804;176910;0;176910
Альфа-Банк;1326;5;2019-01-01;органов государственной власти иностранных государств;11805;0;0;0
Альфа-Банк;1326;5;2019-01-01;органов местной власти иностранных государств;11806;0;0;0
Альфа-Банк;1326;5;2019-01-01;банков-нерезидентов;11807;0;0;0
Альфа-Банк;1326;5;2019-01-01;прочих нерезидентов;11808;0;0;0
Альфа-Банк;1326;5;2019-01-01;Минфину России;12101;0;0;0
Альфа-Банк;1326;5;2019-01-01;финансовым органам субъектов Российской Федерации и органов местного самоуправления;12102;0;0;0
Альфа-Банк;1326;5;2019-01-01;государственным внебюджетным фондам Российской Федерации;12103;0;0;0
Альфа-Банк;1326;5;2019-01-01;внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления;12104;0;0;0
Альфа-Банк;1326;5;2019-01-01;финансовым организациям, находящимся в федеральной собственности;12105;0;0;0
Альфа-Банк;1326;5;2019-01-01;коммерческим организациям, находящимся в федеральной собственности;12106;0;0;0
Альфа-Банк;1326;5;2019-01-01;некоммерческим организациям, находящимся в федеральной собственности;12107;0;0;0
Альфа-Банк;1326;5;2019-01-01;финансовым организациям, находящимся в государственной (кроме федеральной) собственности;12108;0;0;0
Альфа-Банк;1326;5;2019-01-01;коммерческим организациям, находящимся в государственной (кроме федеральной) собственности;12109;0;0;0
Альфа-Банк;1326;5;2019-01-01;некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности;12110;0;0;0
Альфа-Банк;1326;5;2019-01-01;негосударственным финансовым организациям;12111;0;0;0
Альфа-Банк;1326;5;2019-01-01;негосударственным коммерческим организациям;12112;49229;4348;53577
Альфа-Банк;1326;5;2019-01-01;негосударственным некоммерческим организациям;12113;0;0;0
Альфа-Банк;1326;5;2019-01-01;индивидуальным предпринимателям;12114;0;0;0
Альфа-Банк;1326;5;2019-01-01;гражданам (физическим лицам);12115;3096;0;3096
Альфа-Банк;1326;5;2019-01-01;юридическим лицам - нерезидентам;12116;0;9792;9792
Альфа-Банк;1326;5;2019-01-01;физическим лицам - нерезидентам;12117;0;0;0
Альфа-Банк;1326;5;2019-01-01;кредитным организациям;12118;0;0;0
Альфа-Банк;1326;5;2019-01-01;банкам-нерезидентам;12119;0;6505;6505
Альфа-Банк;1326;5;2019-01-01;иностранным государствам;12120;0;0;0
Альфа-Банк;1326;5;2019-01-01;в Минфине России;12201;0;0;0
Альфа-Банк;1326;5;2019-01-01;в финансовых органах субъектов Российской Федерации и органов местного самоуправления;12202;0;0;0
Альфа-Банк;1326;5;2019-01-01;в государственных внебюджетных фондах Российской Федерации;12203;0;0;0
Альфа-Банк;1326;5;2019-01-01;во внебюджетных фондах субъектов Российской Федерации и органов местного самоуправления;12204;0;0;0
Альфа-Банк;1326;5;2019-01-01;в финансовых организациях, находящихся в федеральной собственности;12205;0;0;0
Альфа-Банк;1326;5;2019-01-01;в коммерческих организациях, находящихся в федеральной собственности;12206;79481;0;79481
Альфа-Банк;1326;5;2019-01-01;в некоммерческих организациях, находящихся в федеральной собственности;12207;0;0;0
Альфа-Банк;1326;5;2019-01-01;в финансовых организациях, находящихся в государственной (кроме федеральной) собственности;12208;0;0;0
Альфа-Банк;1326;5;2019-01-01;в коммерческих организациях, находящихся в государственной (кроме федеральной) собственности;12209;0;0;0
Альфа-Банк;1326;5;2019-01-01;в некоммерческих организациях, находящихся в государственной (кроме федеральной) собственности;12210;0;0;0
Альфа-Банк;1326;5;2019-01-01;в негосударственных финансовых организациях;12211;0;0;0
Альфа-Банк;1326;5;2019-01-01;в негосударственных коммерческих организациях;12212;5224984;59520;5284504
Альфа-Банк;1326;5;2019-01-01;в негосударственных некоммерческих организациях;12213;0;0;0
Альфа-Банк;1326;5;2019-01-01;в юридических лицах - нерезидентах;12214;4847;17586;22433
Альфа-Банк;1326;5;2019-01-01;в кредитных организациях;12215;0;0;0
Альфа-Банк;1326;5;2019-01-01;в банках-нерезидентах;12216;0;8398;8398
Альфа-Банк;1326;5;2019-01-01;в Банке России;12217;0;0;0
Альфа-Банк;1326;5;2019-01-01;индивидуальным предпринимателям;12218;3891;0;3891
Альфа-Банк;1326;5;2019-01-01;гражданам (физическим лицам);12219;0;0;0
Альфа-Банк;1326;5;2019-01-01;физическим лицам - нерезидентам;12220;0;0;0
Альфа-Банк;1326;5;2019-01-01;в Банке России;12301;0;0;0
